NICKstateNAME                   2009/can/toron092.tou 20090913
MLAP MYS Michael Laput          33 1670 20081130
JOMO TZA Jared Omolo            24 1670 20080405
IGON --- Irineu Gonsalves      159 1669 20090118
GMOO --- Gerry Moore            24 1669 19980412
KRIC --- Karen Richards        408 1668 20090628
YLOB --- Yvonne Lobo            21 1666 19971127
TTER --- Thien Termpaisit      229 1665 20080629
CHAR GBR Chris Harrison        109 1665 20090406
CHAN --- Chew Han Ei           107 1665 20070625
RONA --- Robbie Onate          249 1663 20071129
ARAM GBR Anne Ramsay            37 1663 20080111
AHEM --- Apithai Hemachudha    132 1662 20060702
RAND --- Richard Andabwa        47 1662 19990627
HMAU MYS Helen Maurus           33 1662 20081130
RSMI GBR Russell Smith          34 1661 20090406
PLIS --- Paul Lister           122 1660 20081130
YEN  --- Yi En Gan             108 1660 20070824
ECHI --- Emanuel Chicoine       37 1659 20050925
CWOR MYS Charas Worapotpisut    22 1658 20081209
WAKI --- Wenwa Akinyi          145 1657 20080405
IAMA --- Indunil Amarasinghe    24 1657 20071111
MBOL --- M Bola                 24 1656 20000423
ISAW --- Imron Sawamipak        22 1656 20071204
RNAO ISR Raz Naot               39 1654 20090717
SMID --- Samson Midigo          66 1653 20030608
SAHM --- Shaikh Ahmed          125 1651 20090118
DDAV --- Dianne Davis           14 1651 19991102
LJEG --- Llewellin Jegels       86 1650 20090109
STAN --- Samuel Tanee           48 1650 20051119
RARC --- Robert Archer          14 1650 19991102
ASAM --- Ayob Samad             34 1649 20031214
TASR --- Tengku Asri           310 1648 20090619
WSUK --- Worasit Suksaensam     52 1647 20090628
GEBU --- Gold Eburu             48 1647 20000423
LFER --- Leon Fernandes         14 1647 19990815
GFOS --- Glenda Foster          80 1646 20081130
AHYD ISR Abba Hydara            18 1645 20081026
TWIC --- Thepparit Wichaya     134 1642 20090628
ICOV GBR Ian Coventry           37 1641 20080111
WLER --- Wichai Lertsakulp      52 1640 20020707
EGOH --- Eugene Goh            106 1639 20010505
PKAM --- Pramit Kamath          40 1637 20040201
CCOO GBR Christine Cooper       38 1637 20090109
EWOK --- Elizabeth Wok          18 1637 20031214
VKIN GBR Victoria Kingham       34 1636 20090406
OARC --- Oscar Arciaga          28 1635 20000526
DSRI --- Daniel Srichawla      135 1634 20090628
PARR --- Peter Arreola         102 1634 20090628
LRET --- Leon Rethual           59 1634 19990627
PTAN --- Patrick Tang           26 1634 20010701
MWOL --- Mildred Wolpe          24 1633 19980412
TDAV --- Tammy Davids           24 1633 19980412
ITAY --- Ian Tay Zhi Xian      166 1632 20081209
JZAI --- Jasmi Zainal           23 1632 19990627
LPAO --- Libero Paolella        39 1631 19971127
NBRO GBR Neil Broom             34 1631 20090406
JMBO --- John Mbote             47 1630 20050327
JTOR --- Joel Toroy             18 1630 19970526
RROM --- Rodney Romany          18 1629 19951026
VVON --- Visan Vongthanasun    200 1628 20090628
CWUT --- Chaiwat Wuthinitikor  164 1628 20090628
CSIM --- Chuah Sim Swee        155 1628 20090619
AAMA --- Asanka Amarasinghe     63 1627 20090705
SNIT MYS Sunai Nitungkorn       22 1627 20081209
MBWI --- Matayo Bwire          152 1626 20051119
VMIL AUS Val Mills              24 1626 20081130
AKHA --- Abdul Khan             14 1626 19990815
JSHA --- Javed Shamim           24 1622 20050116
DLOB --- Douglas Lobo          245 1621 20090118
SBOO --- Surachai Booncham      26 1621 20020707
KJAC --- Kevin Jacobs           24 1621 19980412
SODE --- Sanmi Odelana         357 1620 20090628
SAMO --- Sanvaris Amorn         54 1620 20070625
JMCA USA Jean McArthur          51 1620 20090628
RSPR --- Robert Springer        39 1620 19971127
RGON --- Ricardo Gonzalez      402 1619 20090606
KZI  --- Kum Zi Peng           111 1619 20081209
MTEO --- Martin Teo            100 1619 20090619
MSAL --- Mario Saliba           91 1619 20090503
DWIL --- David Williams         37 1619 20081101
MDEW MLT Moya Dewar             18 1619 20080504
AVAN --- Angela Van Niekerk      6 1619 19991031
RLAM --- Rosario Lambino       143 1618 20081211
ADIS --- Asanka Dissanayake     63 1618 20090118
TKOK --- Toh Kok Onn            40 1618 20061205
SCHU --- Sean Chung             99 1617 20081209
JTHI --- Jakkrit Thipthan       26 1617 20020707
SADE --- Segun Adegbenro        48 1615 20000423
PPIT --- Prachya Pitapho       205 1614 20090628
SSUR --- Sumith Suriyaroj       81 1614 20070625
RPAR --- Roger Parchamento      20 1613 20061205
EYAP --- Emy Yap               116 1611 20010505
AJUL --- Auka Julius           113 1611 20081010
WUSA --- Wojciech Usakiewicz    64 1611 20071111
RYBA --- Rod Ybardolaza         34 1610 20011012
PKEL GBR Phil Kelly             37 1609 20080111
MNIR --- MV Niranjan            24 1609 20060115
DRAJ --- Dorai Raja            194 1608 20090619
CROS GBR Chrystal Rose          19 1608 20080910
KJEN --- Ker Jen Ho             84 1607 20090619
WMAM --- Wone Mamadou          262 1606 20090606
LMOI GBR Len Moir               74 1606 20090109
AALI --- Amirali Alimohamed     58 1605 20001110
KLIM --- Kenneth Lim            23 1605 19990627
SRES --- Shakir Reshamwala     253 1602 20090606
TMIC --- Tim Michaels           44 1602 20071204
MALI --- Mohd Ali Ismail       110 1600 20081130
SAMA --- Samitha Amarasinghe    99 1600 20090705
ATHO --- Abraham Thomas         38 1600 20050703
WYEH --- Winnie Yeh             36 1599 19951026
HKUL --- Harmony Kuller         15 1599 20000604
DSTE GBR David Steel            94 1598 20090109
LROF --- Lynn Roff              66 1598 20041003
CSTR GBR Christine Strawb       54 1598 20090503
CCHI MYS Chang Ching Wei        42 1597 20081209
AJAB --- Abdul Jabbar           24 1597 20051119
ECHO MYS Eden Choo              22 1597 20081209
SAMA --- Shaila Amalean        207 1596 20090705
AMET --- Arun Methaseth        392 1595 20090628
SGUP --- Sanjoy Gupta          162 1594 20090118
MGUN --- Malinda Gunawardane    75 1594 20090705
YEAD --- Yvonne Eade            44 1594 20080615
JHAE --- Jim Haefele            43 1594 20050603
APEA --- Angie Pearse           34 1594 20061205
MPOL --- Mauricio Polinar       23 1593 19990627
IJOS --- Ikawa Joseph           24 1591 20021020
PMIR --- Patrick Miriti         24 1591 20021020
SOZO --- Steve Ozorio           28 1590 20070708
APAL THA Alberto Palomo         27 1590 20090628
PRIC --- Paul Richards          95 1589 20071130
CCAR --- Charles Carneiro      257 1588 20090118
MCON GBR Moira Conway           34 1588 20090406
WCAL --- William Caluza         28 1588 20070625
EKUS --- Eric Kusimba           24 1588 20021020
CRUT --- Cecilia Ruto          240 1587 20090628
TSUP --- Tanasak Supaphibunk    64 1587 20081209
TDEA --- Teresa Dean            16 1587 20031017
EMEG --- Eileen Meghen          98 1586 20090406
VGWE --- Victor Gwee            44 1586 20081209
CCOS --- Catherine Costello     60 1585 20051030
MSEL --- Matthew Selvanera      44 1585 20071204
SHEM --- Sanath Hemachandra    245 1584 20090606
PSEE --- Prashanth Seetharam    79 1584 20060115
MAHM IND Mohsin Ahmed           45 1583 20081209
WSAM --- W Samarasundera        18 1583 19951026
RSUD --- Raashid Sudin          15 1583 20030803
VPEN --- Vivian Penaflor        94 1582 20010517
YSIR --- Yannakit Sirisup       22 1582 20071204
PMAD --- Pumudu Maddewithana    15 1582 20030803
KSYN MLT Kevin Synnott          18 1581 20080504
WMAN --- Weeraya Manakit        54 1579 20060702
PSAM --- Pornsatit Samattiy     44 1578 20081209
AQUI MYS Allie Quinn            33 1577 20081130
AKWH --- Akkarapol Kwhansak     27 1577 20050626
NMIN --- Ng Mingwei             22 1577 20071204
MKWA --- Mark Kwan              18 1577 20031214
ICHI --- Ishtiaq Chishty       318 1576 20090705
MBHA --- Mangala Bhandarkar    100 1576 20040201
LSIN --- Lewis Singh            24 1576 20011216
KMEE --- Khen Meerding          54 1575 20070625
BPEP USA Bryan Pepper           16 1573 20081116
LDON GBR Liam Donnelly          13 1573 20080210
AOLA MYS Adedayo Olaolu         55 1572 20081209
NVEL MLT Nicky Vella Laurenti   38 1572 20090503
MHEN --- Morara Henry           18 1571 20030608
LDE  --- Louie De Guzman       113 1570 20081209
OYEA --- Ong Yeam Chin          45 1569 20000528
EKIN BHR Eric Kinderman         16 1569 20090606
RTAN --- Rohaina Tanveer       334 1568 20090705
MESM --- Mushtak Esmail        258 1568 20081010
MKAM --- Mwangi Kamau           71 1567 20080405
MMUN --- Mwenya Munkonge        72 1566 20081010
PRIC MYS Paul Richards AUS     140 1562 20090628
AHAW --- Annie Hawes            41 1562 20080910
CFIL --- Candido Filio          36 1562 19970526
TTIA --- Tan Tiam Chai          23 1562 19990627
OAKI IND Olajide Akinyemi       50 1561 20090628
ALEW --- Alan Lewis             24 1561 19980412
POKO --- Patricia Okoye         24 1561 20060924
AHID GBR Anne Hidden            34 1560 20090406
NKRI --- Narong Kriengparinya   53 1559 20050626
FCOL --- Frederick Collins      24 1558 20071111
PEDW TZA Phillip Edwin-Mugish   48 1557 20081010
BLIM --- Brian Lim Daqing      145 1555 20081209
HBOH --- Herve Bohbot           72 1555 20071111
MZBI --- Mateusz Zbikowski      24 1555 20051119
BANA --- Bijay Anand            14 1555 20030112
CJOH --- Carol Johnsen          61 1554 20080629
WNYA --- Walter Nyandiko        24 1554 20050327
SHIR --- Shahnaz Hirji         138 1553 20080405
JBAR --- John Barker           202 1552 20090628
GMAC --- George Macaulay        13 1552 20050925
MMCM --- Mary McMahon            6 1551 19991031
JLIM --- Jessie Lim            192 1549 20081130
SSUL --- Shem Suleiman          48 1549 20060924
DREY --- Douglas Reyes          23 1549 19990627
YGIM --- Yeap Gim Sai          254 1548 20090619
KABE --- Kevin Abela            24 1548 20031023
MRAM --- Mal Ramsdale           17 1548 20061129
CRAJ --- Charith Rajasiri       42 1547 20071204
DSHA --- Dylan Sharma          293 1546 20081130
SIYE --- Sreepathy Iyer         74 1546 20081130
ACHU --- Alan Chua              39 1545 20000521
BO'B GBR Breda O'Brien          33 1545 20090503
MHOL --- Michael Holmes         18 1545 19951026
OCAB --- Orly Cabanting         28 1544 20000526
LCAM --- Lia Campbell           22 1544 20071204
MMAN --- Mallika Manakit        81 1542 20060702
RJOR --- Ravee Joradol          29 1542 20041219
PBOS --- Paul Bosita            48 1541 20081010
AKAS --- Anita Kassel           24 1541 19980412
PYEO --- Paulette Yeoh         434 1540 20090619
GBUC --- Graham Buckingham      67 1540 20090628
OKAN --- Ong Kang Ng            20 1540 20031214
NTAD --- Natalie Tadday          8 1540 20061128
KLAG --- Kitty-Jean Laginha     99 1538 20081209
DMCM --- Danny McMullan         25 1538 20080210
BCHE --- Benjamin Cheong        22 1538 20071204
NYEO --- Nicholas Yeo           18 1538 19970526
BTAN MYS Blias Tan              22 1537 20081209
AMOD --- Anthony Modeste        24 1535 20071111
DMAC USA Donna MacDonald        24 1535 20081116
SCOS --- Sal Costanzo           18 1534 19980920
JCHA --- Joseph Chavutia        95 1531 20081010
FDIZ --- Francis Dizon          38 1531 20061205
LDE  --- Lahiru De Silva        63 1530 20090705
NLI  --- Ng  Li Yuan            20 1530 20061205
NLAN MLT Naomi Landau           56 1528 20090503
PTRI THA Pachara Tritipthanak   27 1528 20090628
AMIC --- Antonin Michel         24 1528 19991106
ACAG --- Aurelio Cagahastian    14 1528 20000526
LELV --- Lahiru Elvitigala     210 1527 20090705
SASS THA Suthiraphan Assarat    54 1525 20090628
VRAM --- V Ramachandran        120 1523 20090705
DMAS --- Diana Mason            42 1522 20041003
KCHI --- Karl Chin Hon Yew     101 1521 20090619
CXIN --- Chow Xin Wei           62 1520 20080622
MHEN --- Meg Henderson           8 1520 19991102
HKAN --- Harikesh Kaneshayogn    6 1520 20011012
MCOR --- Malou Coronacion       28 1519 20070625
CFER --- Cecil Fernandes       292 1518 20090606
KHAM --- Kayondo Hamdan         18 1518 20030608
KNAT --- Karthik Natarajan     208 1517 20070115
AAHM --- Adeeb Ahmad           117 1517 20070624
CAMI ISR Chaya Amir             18 1516 20081026
NSON --- Nikhil Soneja         113 1515 20090606
PTAN --- Philip Tan             73 1515 20010505
EMAR KEN Ezekiel Markwei        24 1515 20081010
PCAR MLT Paul Cartman           18 1515 20080504
MWAR --- Margaret Warmington     8 1515 19991102
PWAS --- Pauline Washkansky     24 1514 19980412
JJAN --- Jerry Jang             96 1512 20070824
OGBE THA Ojofeitimi Gbenga      27 1512 20080629
DYUE --- Dave Yuen              20 1512 20061205
PJON --- Peter Jones            24 1510 20021118
WFER --- Wimal Fernando        203 1509 20090606
OROS MLT Omri Rosenkrantz       56 1509 20090503
MSAL --- Miriam Saldanha        24 1507 19980412
ALAU --- Alvin Lau              44 1506 20081209
TJAY --- Tee Jay                24 1503 20000423
JTAN --- John Tan               23 1502 19990627
BDEL NGA Bode Delon             14 1501 20081005
CSAN --- Ching San Song         83 1500 20081209
ATAY MYS Adrian Tay             33 1499 20081130
DSIL --- Dhanapala Silva        24 1499 19991106
GNEW MLT George Newman          18 1499 20080504
BFIL --- Ben Filio             198 1498 20080606
MSUL --- Murtaza Suleiman       24 1498 20021020
JBER ISR Jake Berliner          18 1497 20081026
GBLI MLT Gila Blits             56 1494 20090503
ASEO --- Alvin Seo Jia Han      42 1494 20071204
MBEN AUS Marianne Bentley       24 1494 20081130
KSAN MYS Kittika Sansanavanee   22 1494 20081209
MSEY MLT Mario Seychell         38 1493 20090503
DPEN --- Ding Penaflor          28 1491 20010517
HBAS --- Hyatt Basman           26 1491 20020707
SDEH --- Sreekumar Dehannath    20 1491 20061205
MCAM MLT Mario Camilleri        38 1490 20090503
RJOH --- Robin John             24 1487 20031023
RPHI MYS Rosalind Phillips      33 1486 20081130
WZHI MYS Wong Zhi Yuan          22 1485 20081209
DROU --- Darlene Rouse          15 1485 20000604
GAND --- Gunnar Andersson       15 1485 20060930
JSTO --- Jason Stockdale        81 1484 20071204
LBAC --- Lorenzo Bacani         17 1484 20061129
SSHE --- Sheroze Sheriffdeen    46 1481 20090705
RREI --- Ronnie Reid             8 1481 20050226
MOWU KEN Moses Owugah           74 1480 20090628
TKAJ --- Tony Kaje              14 1480 20000526
RROS --- Rob Rosenthal          28 1479 20060609
IKAS --- Ismail Kassim         179 1477 20081130
JMOR GBR John Morrissey         13 1476 20080210
SLAW --- Sarah Law             193 1475 20090628
DMIN --- Dawuud Minsulaimaan    95 1475 20080629
MFEI ISR Moshe Feingold         18 1475 20081026
ZPUT --- Zain Putra             27 1474 20000528
CPAI --- Carolann Pais         112 1471 20080113
MMCK --- Michael McKenna        99 1471 20081209
GPER --- Gerry Perez            79 1471 20080606
BBRI NGA Bunus Brisibe          14 1470 20081005
MMAL MYS Matthew Malitao        22 1469 20081209
CWAI --- Chim Wai Main         266 1468 20090619
TBOO --- Tan Boon Aik           22 1468 20071204
AJIN --- Ang Jin Yang           19 1468 20041219
GDAV --- Gerald Davids          99 1467 20040604
RORG --- Ramon Organo           48 1467 20020517
GPIN --- Greg Pinchbeck         17 1467 20061129
OVIC KEN Owokere Victor         24 1466 20081010
MFER --- Marie Fernandes       277 1465 20090606
SASI --- Syed Asif Rizvi       103 1465 20050626
STSE --- Sandy Tsen             65 1464 20061128
KKHO MYS Kobtun Khongthanarat   22 1463 20081209
JTAY MYS Jane Taylor            51 1462 20081211
SCHA --- Siwat Chaowaree        27 1458 20040628
DKEE --- Duncan Keet            24 1458 20041003
DSRI --- Daniel Srichwala       53 1457 20030629
MABD --- Mohammed Abdalla       24 1456 20021020
BD'S --- Brian D'Souza          14 1456 20030112
LVER --- Loh Vern Sern          57 1451 20061205
KCHO --- Koh Chon Kiat          16 1451 20010505
JFAS --- Johnson Fasuba         66 1450 20000423
CNTE --- Chris Ntege           161 1448 20081010
NPOD --- Natasha Podesser      118 1448 20081209
LD'S --- Lennie D'Souza        197 1447 20090118
IALI --- Inayat Alidina         65 1446 20080405
SMAN MLT Sammy Mangion          20 1446 20090503
SNGU --- Serene Ngu Lum Mui     18 1445 20031214
ACON --- Aloysious Conzaga     248 1444 20090628
TMIC --- Tom Michaels           22 1444 20071130
JRYA GBR John Ryan              13 1444 20080210
LSER MLT Liliane Servier        56 1443 20090503
SSIV --- Saeyorn Sivanesan      52 1443 20031023
IGOH --- Irwin Goh Hong Jin     22 1443 20071130
SAMW KEN Steve Amwayi           24 1441 20081010
MSAL --- Mohd Saleh Yusof       23 1438 19990627
JMAY MLT Josephine Mayo         38 1437 20090503
JGUN --- James Gunner           88 1436 20081209
MMWE --- Munkonge Mwenya        24 1436 20060924
DCOT --- Danny Cotejo           70 1435 20011216
STIE --- Susi Tiekert            8 1433 19991102
TKHE --- Tan Khee Chiang       185 1432 20081130
GSUL KEN Gora Sulaiman          24 1432 20081010
ATHO --- Annie-Teresa Thomas    22 1432 20071204
SADE --- Silvano Adel           66 1430 20041003
MWAT --- Martin Waterworth     130 1429 20080629
MLOK MYS Markus Loke            22 1428 20081209
SHEM --- Sonny Hemachandra     181 1427 20090606
LJAC --- Liz Jackman            69 1427 20081116
HJAN --- Huub Jan Luyk          87 1424 20081130
ASID --- Anwar Siddiqui         66 1424 20080113
SRAM --- Seshi Ramanathan      224 1423 20081130
DDIM --- Delio Dimaano         190 1422 20081130
NNIR --- Navaratnam Nirakulan   15 1422 20030803
MOFO --- Mike Ofori             24 1420 20000423
GDEW MYS Goh Dewin              22 1420 20081209
DMIL GBR David Mills            13 1420 20080210
LSHA --- Lim Sha Lyn           107 1418 20090619
ZCOS --- Zina Costanzo          24 1418 19991031
WKHA --- Worawit Khamrin        20 1418 20061201
LVAN --- Lindsay Van Niekerk     6 1418 19991031
FKHA --- Farooq Khan            28 1417 20040604
AIRA --- Aspi Irani             28 1416 20040604
SNIX --- Samuel Nixon           24 1414 20000423
AABD --- A Abdallai             24 1413 20000423
MWON --- Michael Wong           96 1412 20071130
PASH GBR Peter Ashurst          34 1412 20090406
JKIR --- Jacinta Kiragu         66 1410 20041003
CMIC MLT Charles Micallef       38 1410 20090503
SDE  --- Shirley de Silva       63 1409 20090705
EMIL TZA Ed Miliano             47 1409 20081010
TTAK THA Tadao Takeda           27 1408 20090628
RKIS --- Rose Kisembo           72 1407 20081010
PWEA GBR Pauline Weatherhead    33 1407 20090503
NKHA --- Naveed Khan            14 1406 19990815
TKIA --- Tan Kiat Ann           23 1404 19990627
ETAW --- Ekure Tawo             14 1403 20000526
TKYO --- Tony Kyobe             18 1402 20030608
MKHA MYS Mohd Khairi Zulkarn    20 1398 20090619
NENG --- Nonie English          21 1397 20071130
MRAH --- Mujeeb Rahman         136 1396 20090606
PTAY --- Peter Tay              65 1395 20061205
JTAW --- Jonathan Tawoda        41 1395 20050327
PYU  --- Peter Yu               16 1395 20010505
RMAH --- Radhika Mahalingaiah  256 1393 20090118
LFER --- Louis Fernandes        42 1393 20010517
CCUE --- Charles Cue            86 1392 20071130
TJUN --- Tan Jun Horng          20 1392 20061205
WGEA --- Warodom Geamsakul     162 1390 20090628
GFER --- Gayani Fernando        20 1390 20011012
ATAN --- Adele Tan             251 1388 20090619
NCHE --- Ng Chee Eng           120 1388 20090619
MMIF MLT Marie-Louise Mifsud    38 1388 20090503
RANT --- Rajiv Antao            96 1387 20090118
RGOS --- Rahul Goswamy          23 1387 19990627
HBRA ISR Hadassah Braun         18 1386 20081026
AHON --- Alex Hong              48 1385 20061205
PMIF MLT Paul Mifsud            38 1385 20090503
FSAN THA Farrouq Sanni          27 1385 20090628
LLEO --- Leonard Leong          19 1385 20041219
MSOO --- Manju Sood             89 1384 20090118
CBRO --- Chris Broderick        18 1383 19951026
JLIM --- Jason Lim              18 1383 19970526
WBEE --- Wasinee Beech          14 1382 20060713
RRUB --- Robert Rubina          47 1381 20071130
PLAM GBR Phyllis Lambe          13 1381 20080210
SENS BHR Susan Ensor            54 1380 20090606
VSHA --- Vyoma Shah             45 1380 20080113
KCHI --- KV Chidambaram         91 1378 20070115
MNOO --- Mohamad Noor Hisham    75 1378 20081130
EFOR --- Eleanor Forbes         24 1376 19980412
LCHE --- Lee Chee Meng          20 1376 20061205
RNG  --- Rainier Ng             20 1376 20060625
JWIN GBR John Winick            13 1376 20080210
MRAS --- Mustafa Rashid         12 1376 20001110
OVIS --- Olga Visser           238 1375 20090628
PLOV ISR Pamela Loval           18 1373 20081026
WPAD --- Wilfredo Padua         98 1372 20061129
SSRE --- Sanjeev Sreejayan      63 1371 20080606
BBAL --- Beboy Balaba           43 1371 20070624
JWRI --- James Wright           24 1371 20011216
TWAI --- Theng Wai Mun          16 1371 20010505
OPOD --- Oliver Podesser        22 1370 20071130
JPUL --- Jose Pulikottil         6 1370 20011012
SRAM --- Siddarth Raman         44 1369 20061201
EKOP --- Esme Kopelowitz        24 1369 19980412
SOTI --- Suleiman Otieno        52 1368 20041219
KKUR --- Kunihiko Kuroda       230 1366 20090503
PTUR MLT Philip Turner          38 1366 20090503
MMOR --- Mary Morgan            67 1365 20080111
KNAK --- Ken Nakai              39 1365 19980920
SGHO --- Suparno Ghosh          14 1364 20030112
NJAV --- Nestor Javier         148 1362 20080606
NB   --- Nabena B Hamalatha     45 1362 20090619
VDDD --- Visoot Ddd             12 1362 20000705
JCAR MYS John Carlo Peralta     22 1361 20081209
AEGB IND Allen Egbe            101 1357 20090628
HNAN --- Hari Nanayakkara       29 1356 20061128
MLOO --- Michael Loo            29 1356 20061201
CGOL ISR Cara Goldberg          18 1356 20081026
BERI --- Betty Eriksen         143 1354 20081130
MERE ISR Miriam Erez            18 1354 20081026
ALYN GBR Anne Lyng              13 1354 20080210
SWRI --- Sunny Wright          170 1353 20081116
JCHE --- Jackie Cheah           80 1353 20090619
BIRW --- Betty Irwin            27 1353 20040628
ABOR MLT Anna Borg              38 1351 20090503
SMBO --- Sylvester Mboya        24 1351 20000423
AZAM MLT Albert Zammit          38 1350 20090503
SAHM --- Syed Ahmad             22 1350 20071130
ZIQB BHR Zafar Iqbal             7 1350 20080404
LPIA --- Lam Piang              16 1348 20000521
JSAL --- Jeffry Salim           59 1347 20081130
HBEN ISR Hilda Bennun           18 1347 20081026
KGRE --- Kamugisha Greens       72 1346 20080405
PWOM --- Peggy Womersley        27 1346 20040628
JCAR MLT Joe Caruana            20 1346 20090503
TSER ISR Tova Serkin            18 1346 20081026
MCAL MLT Marlene Calleja        38 1344 20090503
PMUK --- Prithwiraj Mukherjee   98 1343 20090118
SSUB --- Shanthikumar Subra     81 1343 20071130
SUNG --- Sujit Ungpakorn        70 1343 20090628
LREE USA Louis Reed             22 1343 20081116
ROGD ISR Ruth Ogdan             18 1343 20081026
CTON --- Catherine Tong        113 1342 20081130
MHOC ISR Maureen Hoch           18 1342 20081026
RGIB --- Randall Gibbons        18 1341 19971127
RGRO --- Ruth Groffman          17 1341 20061129
KRAV --- Kallayil Ravindran     43 1340 20070624
CKIM --- Cheah Kim Tarh         42 1340 20071130
PHAM MYS Phillip Hamilton       55 1339 20081209
ZMUH --- Zakir Muhd             22 1339 20071130
FABO --- Ferrer Abordo         248 1338 20090606
PRYA GBR Paula Ryan             13 1337 20080210
BPRA --- Bhushan Pradhan       135 1336 20090118
MSAL --- Mohd Salahudin        130 1335 20090619
MGAN --- Manickam Ganapathy    163 1334 20070625
CCAB --- Catalin-Eugen Caba     44 1334 20090503
SMIL TZA Sydney Milukutu        23 1334 20080405
JHAM --- John Hamilton         127 1333 20081209
HYUE --- Ho Yue Jing            41 1333 20071130
VMEH --- Vaishali Mehta         48 1332 20070115
NMUJ --- Neha Mujumdar          25 1332 20070115
NMEK MYS Nattiya Mekavarakul    22 1332 20081209
CDON --- Carmel Doney            6 1332 19991031
AYEA --- Albert Yeap            27 1330 20000528
RBAL --- Rekha Balaji           16 1330 20070624
HQUR --- Hyder Quraishi         28 1329 20021018
DMOR --- David More             17 1328 20061129
OKAR --- Omari Karachi          94 1326 20080405
SHUS --- Salum Hussein          65 1326 20080405
NJOS --- Noel Joseph            16 1326 20010505
WLAU --- Warren Lau             47 1325 20090619
JPOL MYS Joy Policher           22 1325 20081209
JBAR --- Jayaska Baranage       15 1322 20030803
WLUC --- Wilfredo Lucedo        14 1322 20030606
MALI --- Mohd Ali Savanur      101 1321 20090118
YJAN --- Yeoh-Sue Jane          60 1321 20090619
FFAR MLT Frans Farrugia         37 1321 20090503
CXIN --- Chow Xin Kit           75 1320 20081130
MKHA --- Mahboob Khan          189 1316 20090606
MENG --- Maxwell Engola         24 1316 20021020
RGEM --- Ronel Geminiano        66 1315 20081209
LSPI MLT Lilian Spiteri         17 1315 20080504
FOGW --- Fred Ogwang            24 1313 20021020
PJOS --- PC Jose               119 1312 20090118
PMEN --- Prakash Menon          27 1312 20060702
EQUI --- Edgar Quiogue          25 1311 20021018
PPER IND Patrick Pereira        46 1310 20090118
GNYA KEN George Nyakundi        24 1310 20081010
ACRE GBR Anne Creaven           13 1310 20080210
SJAF --- Shayan Jafrani         12 1310 20050724
PFRE MLT Pawlu Frendo           38 1309 20090503
MPER IND Menino Pereira         24 1309 20090118
IIMP --- Ivan Imperial          37 1308 20061201
JBAC --- Jessica Bacani         37 1306 20061201
AJAM LKA Aqila Jamil Khattak    24 1305 20090705
ZMAJ --- Zamri Majid            86 1304 20031214
ILIM --- Irene Lim              23 1304 19990627
IHUS --- Ibrahim Hussein        21 1303 20080404
DHAD --- Don Hadley             17 1303 20061129
VVIL --- Vic Villanueva         48 1302 20040604
AGOM --- Anthony Gomes         138 1299 20090606
RD'S --- Rex D'Souza            27 1299 20060702
RNUG --- Ramprasad Nuggehalli  133 1298 20090118
JPHI MLT Janet Phillips          6 1298 20080504
HHOL --- Henrik Holmstrom       15 1296 20060930
DMBA TZA Deo Mbabazi            47 1295 20081010
ZARI --- Zeenath Ariff         102 1294 20090619
UMEN --- Usha Menon             73 1291 20090606
MAZZ MLT Moses Azzopardi        38 1290 20090503
TPIR --- Talib Pirmohamed       24 1288 20041003
YTAT --- Yeo Tat Mun            18 1287 19970526
AFAR IND Abdullah Faruk         23 1285 20080113
EDOB MLT Ellie Dobson           18 1285 20080504
TJOH MYS Tamara John            55 1284 20081209
WKAR --- Wong Kar Mun           65 1283 20050626
BCHR --- Byron Christopher Co   43 1282 20071204
MBJO --- Marten Bjorkman        31 1282 20051119
PJAY LKA Praveeni Jayasekera    24 1282 20090705
SWIL LKA Shaini Wilson          24 1281 20090705
DBOR MLT Dominic Borg           38 1279 20090503
VTHA --- Valliammah Thamb      146 1277 20081130
PCHA MYS Pornthep Chaikitt      22 1277 20081209
GDE  --- GGS De Silva           47 1276 20060115
AXUE MLT Alfred Xuereb          37 1276 20090503
LSIB --- Lory Sibayan           48 1275 20030606
AAND MLT Angele Andrews         38 1275 20090503
LMAO MYS Lim Mao Fong           33 1275 20081130
NJAM --- Natchanon Jamtanom     25 1275 20070625
JMCC GBR John McCart            13 1272 20080210
WTAN --- Weeranee Tanasarn      81 1271 20060702
SAMI --- Shiraz Amith          173 1269 20060609
LYEE --- Lee Yee Fun            80 1269 20090619
NTRE MYS Nutt Treepoonsuk       22 1268 20081209
ICOO --- Indramali Cooray       72 1267 20090705
SJOS --- Sam Joseph             38 1265 20060115
RCHE --- Rene Chelton            8 1265 20061128
LLOW --- Lawrence Low           80 1264 20060702
CBOR MLT Carmen Borg            38 1264 20090503
TRIJ --- Teeranuch Rijiraw      27 1262 20040628
HNIX --- Harold Nixon           24 1262 20000423
KNIT MYS Kobchai Nitungkorn     22 1258 20081209
AFAB ISR Amos Fabian            18 1258 20081026
MKIK KEN Millie Kikech          24 1256 20081010
SMUH MYS Shameer Muhammad       20 1254 20080622
RPRA --- Ramkumar Prasad        15 1253 20030803
NABD BHR Noroden Abdul Hamid    16 1252 20090606
EESC --- Elvis Escara           28 1251 20030606
SAHM --- Shafique Ahmed        204 1250 20090606
TELV --- Thilina Elvitigala     92 1250 20090606
SHUS --- Sarwar Hussain         28 1249 20000526
GSOO --- Goh Soo Hang           23 1249 19990627
