NICKstateNAME                   2011/mys/jbprr25.tou 20111208
CTAC --- Charles Tachie         46 1938 20110909
DESA --- Dokun Esan            117 1936 20111130
OSUA --- Ong Suanne            229 1935 20071204
RHOE --- Ron Hoekstra          211 1935 20101205
OODU --- Olatunde Oduwole       70 1935 20110909
LSCH --- Lester Schonbrun       59 1935 19991106
CITT --- Chollapat Itthiaree   256 1933 20111130
EMAR --- Edward Martin         179 1933 20111015
RBAL --- Rasheed Balogun       174 1933 20110909
OOJI NGA Onota Ojiru            46 1933 20110909
RMAC --- Rod MacNeil            36 1932 20110206
MPRU --- Marlon Prudencio      324 1929 20111130
RCAS --- Rod Casey               6 1929 19991031
TWEI --- Toh Weibin            240 1928 20111015
DSAL --- Dean Saldanha         178 1928 20111015
AERB --- Akegapun Erbpras      133 1928 20060702
RDAN --- Robin Daniel           81 1928 20011216
BLIP --- Bob Lipton            193 1927 20100816
JWAP --- Joel Wapnick          323 1926 20111015
ASAM --- Asare Samson          101 1926 20110909
JMCK --- Julian McKail          74 1926 20110626
AFAR USA Alyssa Faria           12 1926 20110206
RFIL --- Roland Filio          135 1924 20011216
DDAY --- Darrel Day             18 1924 19930830
MKEN --- Mark Kenas            249 1923 20111015
JGRA --- Jeff Grant            389 1922 20101205
RGRE --- Randy Greenspan        18 1922 19930830
COKW --- Chinedu Okwelogu      202 1921 20110515
MWAR --- M Warusawitharana      57 1920 19971127
JCHE --- James Cherry           48 1919 20011216
JDAY MYS Jesse Day              45 1919 20111130
JKEL USA Jason Keller            6 1919 20110410
JKRA --- James Kramer          213 1918 20111015
JKAT --- Jason Katz-Brown      147 1918 20110626
ACHA --- Amit Chakrabarti      124 1917 20110925
NNAJ --- Nashad Najmu           36 1917 20031214
OBON --- Owen Bondin            24 1917 19991106
IDIX --- Ivy Dixon-Baird        16 1917 20030630
RHER --- Randy Hersom          117 1916 20051119
AIKO --- Anthony Ikolo          99 1914 20110909
EBOB NGA Edewor Bobor           47 1913 20110909
EAQU --- Edet Aquaisua          92 1912 20101205
DLOW --- David Lowden           24 1912 20061106
CKHO --- Charnrit Khongthan    172 1911 20111120
TLEA --- Tony Leah             151 1911 20111015
IPRE NIG Igali Precious         23 1911 20110909
PMOR --- Peter Morris           90 1910 20101209
ZKAU --- Zev Kaufman            78 1910 20051119
MSCH --- Mark Schellenberg      24 1909 20071111
EDAN --- Elie Dangoor          170 1905 20101010
WKEL --- Wayne Kelly           134 1905 20110105
OOJI NGA Osikhena Ojior         47 1905 20110909
DPIE MYS Daniel Piechnick       45 1905 20111130
EBER --- Evan Berofsky         106 1904 20110925
FWEA --- Feargal Weatherhead   188 1903 20111113
AOGB --- Azu Ogbogu            136 1903 20110909
JO'L --- John O'Laughlin       240 1902 20111015
NBAL --- Nick Ballard           18 1901 19930830
OJAR --- Ong-Arj Jaruwan        18 1901 19930830
PROB --- Phil Robertshaw       174 1899 20111113
WINT --- Win Intara             27 1899 20040628
ZLEA --- Zelig Leader           18 1899 19951026
JHOL --- John Holgate          286 1898 20021118
PELB --- Peter Elbourne        105 1898 20011216
MQUA --- Michael Quao          174 1897 20101024
BBOW USA Brian Bowman          131 1896 20111015
MHAR GBR Martin Harrison       104 1896 20110105
KMCC --- Kay McColgan           25 1896 20110123
CSYK --- Christopher Sykes      24 1896 20011216
JVAN --- John Van Pelt          35 1895 20110320
SCHA --- Sitthisak Chaisook     28 1894 20000705
PNDE --- Patrick Nderitu       140 1893 20111015
WNED --- Will Nediger           39 1893 20061201
JADD --- Joshua Addo            39 1892 19971127
MWIL --- Mike Willis            18 1892 19951026
RHON --- Russell Honeybun      141 1891 20111130
AUL- --- Asad Ul-haq            96 1890 20070624
DFRA --- Darryl Francis         92 1890 20010701
EMET --- Eddie Metevier         32 1890 19991106
JLER --- Jerry Lerman           42 1889 20051119
JCRA --- Joanne Craig          349 1888 20111130
PCAR --- Patrick Carter        254 1888 20101205
JGRA --- John Grayson           87 1888 20061201
ATZU NED Ami Tzubery             7 1888 20110528
DDEN --- Di Dennis              66 1887 20071111
CSPA --- Clive Spate            57 1887 19971127
MRIC USA Marcia Richards        14 1887 20110320
DDEL --- David Delicata        214 1886 20111015
PEPS --- Paul Epstein           47 1885 20000604
RKEN --- Rik Kennedy            37 1885 20110123
TRAB --- Tawano Rabong          69 1884 20000705
YKIA --- Yeo Kian Hung         641 1882 20111130
THAL --- Trevor Halsall        259 1882 20111015
AOLA --- Adigun Olatunde        72 1880 20102002
MPRA --- Mike Pray              52 1880 20000526
GCAR --- Gerry Carter          807 1879 20111130
ATAM --- Adrian Tamas           89 1879 20100108
WSUT --- Waiyapot Suttawass     53 1879 20030629
TBRO --- Theresa Brousson      347 1878 20111015
MGON --- Michael Gongolo       273 1878 20110423
JROB MLT Jared Robinson         53 1877 20111113
SNJO --- Stanley Njoroge       176 1876 20100606
KHEA --- Ken Heaton             18 1876 19930830
BWHI USA Bradley Whitmarsh      84 1875 20111015
CJOH USA Carl Johnson           43 1875 20110327
DKOE POL David Koenig           34 1875 20111015
VBAL --- Vannitha Balasingam   293 1874 20111130
JROS --- Joan Rosenthal        252 1874 20050116
VHIN --- Varisht Hingorani     141 1872 20071111
JTAB --- John Tabasa            24 1872 20051119
BUFE NGA Ben Ufeli              23 1871 20101031
DWEB --- David Webb            264 1869 20111015
KKHO --- Karl Khoshnaw         182 1869 20060713
WZXQ CAN Winter Zxqkj            7 1869 20100716
SPOL --- Steve Polatnick       354 1868 20110717
MCHO --- Montien Choltichanan  107 1868 20050626
WKHA MYS Waseem Khatri         115 1868 20111208
CMEN --- Christian Mensah       78 1868 20110909
CGRU USA Chris Grubb            36 1868 20110327
BIDA NGA Bright Idahosa         91 1867 20110909
GWIL --- Gareth Williams       270 1865 20111113
AKWH --- Akkarapol Kwhansak    114 1865 20111130
PAVR --- Paul Avrin             18 1865 19951026
PLIT --- Patrick Litunya       342 1864 20111015
BTHO --- Blue Thorogood        118 1863 20111015
RJER --- Richard Jeremy         93 1863 20111130
WWAR --- Wilma Warwick          60 1863 20071203
ECOH --- Evan Cohen            201 1862 20111015
EPER --- Esther Perrins        262 1859 20111130
WWIL --- Walker Willingham      24 1859 20031023
MAKO --- Michael Akonor         78 1858 20101024
SGRU --- Steven Gruzd          171 1857 20111015
KMCK USA Kelly McKenzie         40 1857 20110717
OKAB NIG Olaiya Kabir           23 1857 20110909
CREI USA Charles Reinke         15 1857 20101003
AHAH --- Albert Hahn           212 1854 20101205
NKES --- Nuttakrit Keska       133 1854 20041219
SWAL MYS Simon Walton           45 1854 20111130
UGRO --- Udayan Grover         255 1853 20111015
NMBU --- Nicholas Mbugua       172 1853 20111130
RDEL --- Renante dela Cerna     23 1852 19990627
LBEN --- Larry Benjamin         18 1852 19930830
KSRI --- Kittana Srimaha        12 1852 20000705
BCHO --- Benjamin Chow          86 1851 20071204
JNEU --- Jim Neuberger          18 1851 19930830
RPUR --- Ricky Purnomo         536 1850 20111130
RBUC USA Richard Buck           62 1850 20110905
LPOW --- Lynne Powell           47 1850 19981123
TSIM --- Tony Sim              974 1849 20111208
MGAB --- Marty Gabriel         215 1848 20111015
NGRE --- Neil Green            108 1846 20111113
FEJI NIG Fuoye Ejiro            23 1846 20110909
MHOR --- Michael Hornung        49 1844 20071129
PFIN --- Pete Finley            66 1843 20051119
WIQB --- Wajid Iqbal           196 1842 20111015
DSAL --- Dielle Saldanha       167 1842 20111208
KKHA --- Kweku Khan             24 1842 20000423
FAWO --- Femi Awowade          557 1841 20110909
TMAY --- Tuoyo Mayuku          115 1841 20111130
ACHO --- Aaron Chong           263 1840 20111015
ORIV --- Oscar Rivera          166 1839 20101211
NOGE --- Nerville Ogedegbe      24 1839 20000423
ACHO --- Apirat Choomai        341 1838 20111120
SSAL --- Salah Salih           283 1838 20110624
NBAL --- Nick Ball             158 1838 20111015
EMEN --- Edem Mensah            21 1838 19971127
BPAC --- Bryn Packer            12 1838 20071203
GNEW --- Geoffrey Newman        35 1837 20100926
CEDW POL Calum Edwards          34 1837 20111015
JIDA USA Jason Idalski          35 1836 20110717
ADRE --- Anne Drew              72 1835 20100816
TBAR --- Thitipol Barameem      82 1834 20110626
GWRI --- Geoff Wright           79 1833 20001126
BSUG --- Brian Sugar            79 1832 20110103
SSUN --- Steve Sunter           79 1831 20001126
SPER GBR Steve Perry           174 1830 20111130
NKWA --- Nana Kwame             24 1830 20000423
KCHO --- Kong Chock Heng       271 1829 20070824
TKUK --- Thanapong Kukiet      205 1829 20111130
JFOL --- John Foley             47 1829 19981123
AOGH NGA Akpome Oghenemere      45 1829 20110909
MCAM --- Michael Cameron        24 1829 20041126
DEAR --- Dylan Early           138 1828 20111015
MWIW --- Maiyarit Wiwat         27 1828 20070625
PTHO GBR Paul Thompson          18 1828 20110103
RLIN --- Robert Linn           321 1827 20110925
CCRE --- Chris Cree            116 1827 20111015
DPOD --- David Poder            24 1827 20051119
MTEO --- Martin Teo            190 1825 20111130
PKHO THA Preedee Khongthanara   81 1824 20111120
SKAN --- Sam Kantimathi        724 1823 20110925
MSIG --- Mike Sigley           194 1823 20100816
PCHE --- Pui Cheng Wui         239 1822 20071130
GRIC --- Geria Richard         114 1822 20110423
TKIR --- Terry Kirk            392 1821 20111113
LWAN --- Lakshan Wanni         306 1820 20111015
RCRE --- Ronald Credo          197 1820 20110624
CWOR THA Charas Worapotpisut    27 1820 20110626
RMAG --- Robins Magaki          90 1819 20050327
RLOB --- Ralph Lobo            447 1818 20111130
LCOH USA Laurie Cohen           79 1817 20111015
AFAS --- Ayo Faseyiro           24 1817 20021020
BJAC --- Bob Jackman           585 1816 20110626
MPHI --- Manop Phiphat         301 1816 20111120
RKHA --- Rashid Khan            93 1816 20051119
COTO GHA Carlos Otoo            30 1816 20101024
JMCG GBR Joseph McGinley        26 1816 20110123
RAND MYS Ryan Anderson         100 1815 20111208
TJIN --- Tan Jin Chor          599 1814 20111208
BLYN GBR Bob Lynn               48 1814 20110105
BGRO GBR Barry Grossman         38 1814 20100108
DWIL --- David Williams         12 1814 20071203
TSUT --- Taewan Sutthasin      554 1813 20111130
JRYA GHA Jacob Ryan             30 1813 20101024
WMWA --- Willy Mwangi          121 1812 20110423
PVUT --- Purinth Vuttich        60 1812 20071130
RATT --- Ras Attachey           24 1812 20000423
CPLA --- Chrys Placca          295 1811 20111015
PSIN --- Peter Sinton          265 1811 20100816
DASS --- Dixon Assesa          134 1810 20050327
SVIJ --- Sinna Vijayakumar      48 1810 20070909
MWHI --- Mike Whiteoak          14 1809 20060713
NSAY --- Nawapadol Sayavesa    254 1808 20101205
AADE GBR Adekoyejo Adegbesan    48 1808 20110105
BHAR --- Barry Harridge         58 1807 20061129
FTHE --- Francis Theuri         48 1807 20050327
RMCK USA Rahn McKeown           22 1807 20110221
SYEN --- Shim Yen Nee          276 1806 20110626
SHAR --- Simon Harinworrarob   249 1806 20070625
VKIN --- Venayori Kinga         77 1806 20101031
CLE  USA Cecilia Le             12 1806 20110206
WAKI --- Wenwa Akinyi          121 1804 20060924
DPRA --- Daniel Pratt           24 1804 20071111
PRAY --- Paloma Raychbart      137 1803 20100518
AWEB --- Alec Webb              72 1803 20110103
AKAN --- Alistair Kane         183 1802 20061106
BWIT --- Benjamin Withers       61 1802 20110717
RBAK --- Rich Baker             24 1802 20031023
EBOR --- Emil Borboran          18 1802 19970526
JFOS --- John Foster           143 1801 20100816
JGON --- Jodi Gonzalez          86 1801 20051218
DCAL --- Debbie Caldwell        72 1801 20100816
