NICKstateNAME                   2008/nga/2akpabio.tou 20081005
DLIM --- Dinna Lim              78 1091 20071130
KBHA --- Kathir Bhaskaran       37 1091 20040109
AGOM --- Anthony Gomes          98 1090 20070115
ZMWA --- Zomboko Mwarami        68 1090 20080405
MMIE --- Monika Mielenhausen    14 1088 20060713
SPAR --- Singham Pararajasing   47 1087 20070115
HPRA --- Hari Prasad            70 1077 20080113
YEIU --- Yeoh Eiu Jyn           60 1076 20080622
LBLO --- Lisa Blohm             16 1074 20060930
MSAL --- Murtaza Salehbhai      24 1070 20021020
SCHI --- Suhail Chishty          7 1069 20021018
SSAM --- Shuard Samad           15 1060 20030803
TPER --- Thirathni Perera       25 1059 20070115
RSYE --- Radha Syed Khazi       41 1055 20040109
AMOZ --- Arvind Mozumdar        24 1054 20050116
AALI --- Anv Alimohamed         14 1052 19990815
JCOR --- Jesseyriche Cortez     43 1051 20071204
CCAR MLT Christine Cartman      17 1051 20080504
CWAL --- Colleen Walker         17 1046 20061129
CKAL TZA Chris Kalibbala        23 1045 20080405
ASEO MYS Amery Seow             20 1038 20080622
DBRE --- David Breadsell        37 1034 20061201
RRAH --- Reshma Rahman          14 1034 19990815
SNUR --- Sharifah Nurul         19 1021 20051218
LONY --- Laurence Onyoin        20 1020 20050327
TCAS --- Tariq Cassim           48 1017 20060115
HSHA --- Harshad Shah           43 1014 20050603
BMON --- Buun-Uum Mongkolnit    47 1010 20070625
SREM --- Sibtain Remtulla       23 1009 20050327
JKOT --- Jonasil Kotico         17 1003 20061129
MPAI --- Manju Pai              16 1000 20040201
LCHE --- Lum Chee Yong          18  998 20031214
OALI --- Osman Ali Khan        114  996 20070907
KSER --- Kaleem Server          63  995 20060331
AKAS TZA Alexander Kashozi      20  985 20080405
USAE --- Uzma Saeed             85  984 20070624
AMPA TZA Allan Mpairwe          20  984 20080405
ARAS --- Altaf Rashid           12  984 20001110
KDHA --- Kaminy Dharmadasa      14  982 20030112
KRAV --- Kaveri Raviraj         17  981 20061129
HHSI MYS H'ng Hsieh Zhen        20  980 20080622
GRAM --- Ganesh Ram             48  971 20070115
SSRI --- Satish Srinivasan      94  969 20080113
JCOL MLT Juliet Collins         17  966 20080504
DBAL --- David Baleero          22  959 20050327
KIYE --- Krishna Iyer           33  956 20031214
LLIR --- Letty Lirio            14  946 20020517
JVIL --- Joalvin Villaroman     14  939 20060609
KBHA --- Kathirgama Bhaskaran   45  937 20060609
RMCG --- Rhys McGuckin          27  935 20060702
CIMI IND Chris Imison           23  934 20080113
TFIL --- Titus Filio            13  931 20021018
MMPA --- M Mpairwe              24  926 20021020
SAZH --- Syed Azhar Ali         76  924 20030606
AGRO --- Aruna Grover           71  923 20070115
JCAL --- Jocelyn Calilung       25  920 20070115
ABRI --- Andrew Briones         20  912 20040109
BROZ --- Bobby Rozario          28  911 20060609
SSAM --- Shaik Sameer           24  911 20060115
HKON --- Helen Kong             36  908 20071130
MABW --- Margaret Abwooli       21  900 20050327
JBHA --- Joanna Bhaskaran       47  883 20040109
KKUL --- KMK Kulatunge          24  883 20050116
GKHA --- George Khamis          17  882 20061129
JKHO --- Jerry Khoo             27  878 20060702
OZAK --- Othman Zakaria         59  870 20071130
KKIA --- Kochakorn Kiatsom      27  857 20040628
LOCO --- Lisa Ocone             20  853 20060625
BTHA MLT Beryl Thacker          17  853 20080504
JHER --- Jacky Hernandez        14  838 20021018
JHAF --- Jaber Hafiz            56  835 20080606
SROS MLT Simon Rosenstone       15  835 20080504
LLAW --- Lindy Lawson           14  828 20061129
KBLA --- Kate Blanchard         20  826 20050603
LSEN --- Lim Seng Chye          19  812 20051218
CMEN --- Christine Menezes      15  799 20041112
SWEI --- Soo Wei Chee           18  798 20031214
ASHA --- Azeem Shaikh           14  785 20040604
FTEO --- Freddy Teo             20  767 20060625
NHEM --- Nadeesha Hemachandra   65  766 20061201
SJAL --- Shaji Jalil            14  763 20040604
MLAN --- Marissa Lanuza         14  756 20000526
VNAI --- Vinesh Nair            19  738 20051218
POLJ --- Peter Oljelund          7  738 20050226
AABD --- Ali Abdulrahman         6  726 20011012
LTAN --- Leroy Tan Yong King    20  722 20051218
PQUE --- Pearly Quek            18  700 20031214
YTHI --- Yogiraj Thiruc          7  692 20021018
RKIE --- Roy Kietzman           12  691 20001110
AGON --- Aldwin Gonzales        37  686 20061201
VRAV --- Vimalan Raviraj        37  680 20061201
SHEM --- Sangeeta Hemachandra   14  680 20060609
WKAH --- Wasantha Kahaduwa      13  671 20021018
NSHA --- Nishi Shah             37  651 20061201
RSAN --- Rekha Sanzgiri         24  642 20050116
MCHI --- Malika Chishty         13  620 20021018
PWEI --- Poh Wei Beng           18  617 20031214
PSIN --- Prabhsimran Singh      19  608 20051218
RSAM --- Rajdeep Samudrale      14  596 20060331
CSAL --- Chintamani Salgado     45  590 20070115
CGUT --- Chaliza Gutlay         37  565 20061201
VRAM --- Viji Ramachandran      24  531 20050116
ZVAH --- Zameer Vahanvaty       23  504 20060115
SCHA --- Sonorita Chauhan        7  503 20051105
RTHA --- Rikaz Thaha             7  500 20021018
SCAV --- Sonny Cavilla          14  495 20060331
RMOO --- Richard Moore          20  494 20040109
ACHI --- Ashab Chishty           7  483 20021018
LHEA --- Liza Heah              20  457 20060625
ROER --- Ralph Oertal            6  443 20011012
JKOT --- Joseph Kotico          37  403 20061201
NMIR --- Nancy Miranda          47  357 20060115
GDES --- GCH DeSilva            17  300 20060115
LLIM --- Leon Lim Yung Liang    15  300 20051218
LLIM --- Lloyd Lim Xinn Liang   15  300 20051218
